,abstract,date,headline,id,lead_paragraph,url,word_count
22,Reporters and citizen-journalists in China are asking hard questions about the crisis. Why is the government letting them?,2020-02-05,The Subtle Muckrakers of the Coronavirus Epidemic,nyt://article/f5b96a12-7ab4-5003-99a4-ae1a03cc8c08,"The outbreak of the coronavirus has brought international scrutiny down on China’s political system. Again. A few commentators have applauded the efficiency of the Chinese Communist Party’s response, but most have zoomed in on its weaknesses. Some have even blamed the party itself for the outbreak, calling the disease a “Communist coronavirus” or “the Belt and Road Pandemic.”",https://www.nytimes.com/2020/02/05/opinion/coronavirus-china-news-journalism.html,1685
23,The British government is questioning the BBC’s public funding and even picking fights with papers that have backed Prime Minister Boris Johnson with gusto.,2020-02-05,"Johnson and BBC Trade Jabs, as War on the Press Flares",nyt://article/5a61459d-560e-5848-bc0e-9b08ee06dc91,"LONDON — When Prime Minister Boris Johnson delivered a fireside chat last week to mark Britain’s departure from the European Union, he did not ask the BBC to tape it, preferring to use an in-house video crew. The BBC, in turn, refused to air his remarks on that history-making evening.",https://www.nytimes.com/2020/02/05/world/europe/Britain-Johnson-BBC.html,1166
24,The anchor criticized the network for using a video clip that took what she called “the most salacious part” of her interview with Lisa Leslie “out of context.”,2020-02-06,Gayle King Faults CBS for Promoting Interview Questions About Kobe Bryant,nyt://article/a070d73b-0fbf-518f-94c7-40835f4dcf5d,"Gayle King criticized CBS on Thursday for how it had promoted a recent interview that touched on Kobe Bryant, an unusual public rebuke from one of the most powerful figures in the network’s news division.",https://www.nytimes.com/2020/02/06/business/media/gayle-king-cbs-kobe-bryant.html,711
25,"It began online as an intricate, if baseless, pro-Trump conspiracy theory. Now it has surfaced in political campaigns, criminal cases and a college classroom.",2020-02-09,What Happens When QAnon Seeps From the Web to the Offline World,nyt://article/413c2753-8061-5051-bb25-17dbe6fe1b78,"A city council member in California took the dais and quoted from QAnon, a pro-Trump conspiracy theory about “deep state” traitors plotting against the president, concluding her remarks, “God bless Q.”",https://www.nytimes.com/2020/02/09/us/politics/qanon-trump-conspiracy-theory.html,2286
26,,2020-02-10,Tina Brown on the Future of the Royal Family,nyt://interactive/dac0fa70-cb06-52b0-bb3d-70bf7e9975fe,,https://www.nytimes.com/interactive/2020/02/10/magazine/tina-brown-interview.html,0
27,It’s the latest push by the administration of President Rodrigo Duterte against media outlets he views as critical of his government.,2020-02-10,"Philippines Moves to Shut ABS-CBN, Its Leading Broadcast Network",nyt://article/05b5b65b-f92a-596f-a3a1-63d310740dc9,"MANILA — The Philippine government moved Monday to end the franchise of the country’s leading broadcast network, the latest push by the administration of President Rodrigo Duterte against media outlets that have been critical of his leadership.",https://www.nytimes.com/2020/02/10/world/asia/philippines-abs-cbn-franchise.html,633
28,Court reporting is a cornerstone of Times journalism. Three experienced hands explain how they approach the work.,2020-02-11,Legal Savvy. Few Lunch Breaks. How Reporters Cover a Trial.,nyt://article/6e44aeea-ab1f-5986-8de9-2a4fc7aaab00,"Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together.",https://www.nytimes.com/2020/02/11/insider/court-reporters-weinstein.html,804
29,"When President Barack Obama contended with an Ebola outbreak, Mr. Trump demanded measures like canceling flights, forcing quarantines and even denying the return of American medical workers.",2020-02-11,Some Experts Worry as a Germ-Phobic Trump Confronts a Growing Epidemic,nyt://article/eb27e8bc-db49-5a5f-86d0-fa07f7f7d093,"WASHINGTON — When an outbreak of the Ebola virus touched the United States’ shores in mid-2014, Donald J. Trump was still a private citizen. But he had strong opinions about how America should act.",https://www.nytimes.com/2020/02/10/us/politics/trump-coronavirus-epidemic.html,1458
30,"A professor at the University of Oklahoma provoked outrage by saying the phrase “OK, boomer” was like a racial slur for black people. He later apologized to students.",2020-02-12,"University Condemns Comparison of ‘OK, Boomer’ to Racial Slur by Professor",nyt://article/4ca3125f-58a4-5d74-ad4a-7ef29555140b,"The president of the University of Oklahoma on Tuesday condemned the remarks of a professor who told his class that the phrase “OK, boomer” was comparable to a racial slur against black people, provoking outrage from students in the class and around campus.",https://www.nytimes.com/2020/02/12/us/ok-boomer-peter-gade-oklahoma.html,891
31,"Carlos Maza, a socialist who calls YouTube “deeply unethical and reckless,” is trying to bolster the video site’s left wing.",2020-02-12,A Thorn in YouTube’s Side Digs In Even Deeper,nyt://article/196bcd04-56dc-5b68-8a80-cf040bec59cf,"Carlos Maza believes that YouTube is a destructive, unethical, reckless company that amplifies bigots and profits off fascism.",https://www.nytimes.com/2020/02/12/technology/carlos-maza-youtube-vox.html,1150
