,abstract,date,headline,id,lead_paragraph,section,source,url,word_count
55,"Xu Zhiyong, a prominent Chinese legal activist, went silent over the weekend. His girlfriend, Li Qiaochu, a social activist, has gone missing.",2020-02-17,China Detains Activist Who Accused Xi of Coronavirus Cover-Up,nyt://article/b41d4610-0112-56d8-8f1c-9e686fdf3357,"He portrayed China’s leader, Xi Jinping, as hungry for power. He accused Mr. Xi of trying to cover up the coronavirus outbreak in central China. In one of his most daring writings, he urged Mr. Xi to resign, saying, “You’re just not smart enough.”",World,The New York Times,https://www.nytimes.com/2020/02/17/world/asia/coronavirus-china-xu-zhiyong.html,585
58,"The outbreak has exposed the powerlessness of private charities, civic groups and others who could help the effort but whom the Communist Party considers rivals.",2020-02-18,"In Coronavirus Fight, China Sidelines an Ally: Its Own People",nyt://article/b431bec0-79d2-50a6-b1d5-79a6f43999bc,Hospitals in Wuhan and surrounding Hubei Province have been making urgent pleas to the Chinese people for three weeks as the new coronavirus ripples through the country: Send more protective gear.,Business Day,The New York Times,https://www.nytimes.com/2020/02/18/business/china-coronavirus-charity-supplies.html,1475
4,"At a small pharmacy in Hong Kong, part of the job has become calming nervous customers desperate for supplies.",2020-02-18,How a Pharmacy Handles Mask Hoarders and Coronavirus Fears,nyt://article/eacda0f8-605f-54e7-8ecc-241400e4b894,"HONG KONG — “It’s like World War III,” said May Tang, an employee at the Kit Pharm Dispensary Ltd. in Hong Kong. ",World,The New York Times,https://www.nytimes.com/2020/02/18/world/asia/mask-hoarders-coronavirus-pharmacy.html,654
5,"The World Health Organization said China’s drastic limits on people’s movement had helped, but experts cautioned against predicting that the worst was over.",2020-02-18,"Coronavirus Epidemic Keeps Growing, but Spread in China Slows",nyt://article/7272da57-5009-50fa-88b9-590d212463b4,"HONG KONG — Chinese officials hailed recent figures as evidence that the spread of the coronavirus epidemic has slowed, and World Health Organization officials said on Tuesday that China’s strict limits on its people’s movements have helped.",World,The New York Times,https://www.nytimes.com/2020/02/18/world/asia/china-coronavirus-cases.html,1517
7,"But if hard-liners in the U.S. administration were hoping for a united, anti-China message from Washington, that goal has been undermined by President Trump.",2020-02-19,Coronavirus Worsens U.S.-China Ties and Bolsters Hawks in Washington,nyt://article/3781eeb3-9e49-5cb8-b525-88bd4dbe129c,"BEIJING — Tariffs and the trade war. Espionage and Huawei. Hong Kong, Taiwan and the South China Sea.",World,The New York Times,https://www.nytimes.com/2020/02/19/world/asia/us-china-coronavirus.html,1506
2,"Some Chinese business figures are taking an unusual public stand, saying the containment efforts threaten to strangle the economy if applied too broadly.",2020-02-20,"As China Fights the Coronavirus, Some Say It Has Gone Too Far",nyt://article/bcbcade8-3af4-5004-8aae-326695da372a,"SHANGHAI — China’s business leaders know better than to argue with Beijing. Leave the politics to the Communist Party, they long ago concluded, and the government will let them make money in peace.",Business Day,The New York Times,https://www.nytimes.com/2020/02/20/business/economy/china-economy-quarantine.html,1228
6,"The Everything Store, which stocks more than 100 million items, is working to avoid disruptions in its supply chain.",2020-02-20,Clicking Buy on Amazon? It’s Trying to Prevent a Coronavirus Caveat,nyt://article/b43b91ba-e2a3-58fb-bb8a-bbab72e461d0,SEATTLE — What if the Everything Store couldn’t sell everything because of disruptions from the coronavirus?,Business Day,The New York Times,https://www.nytimes.com/2020/02/20/business/amazon-coronavirus-supplies.html,1258
50,"As the country’s infection numbers soar, most cases have been connected to the Shincheonji Church of Jesus, which mainstream churches consider a cult.",2020-02-21,Shadowy Church Is at Center of Coronavirus Outbreak in South Korea,nyt://article/d1dfa3b7-542b-5726-b539-4dd3a96a6060,Read live updates on the coronavirus outbreak here. ,World,The New York Times,https://www.nytimes.com/2020/02/21/world/asia/south-korea-coronavirus-shincheonji.html,1396
70,A surge of risky borrowing by companies around the world leaves the global economy especially exposed to the potential costs of the outbreak.,2020-03-11,Coronavirus May Light Fuse on ‘Unexploded Bomb’ of Corporate Debt,nyt://article/be9bb84b-168e-5574-b53b-51fb39d37600,"LONDON — To grasp why the most important central banks — from the Fed to the Bank of England to the Bank of Japan — are now leaping into action as if the world were on fire, it helps to examine the subject of corporate debt.",Business Day,The New York Times,https://www.nytimes.com/2020/03/11/business/coronavirus-corporate-debt.html,1464
40,"Those with chronic health problems are more likely to develop severe illnesses and to die, research shows.",2020-03-12,Coronavirus Threatens Americans With Underlying Conditions,nyt://article/86bb3c6e-4154-5b70-a952-842dcb6bb63e,"The new coronavirus is a serious threat to the elderly, as federal officials have been at pains to note recently. But they have stepped gingerly around advice for another group of Americans also at special risk from the infection: those with chronic health conditions.",Health,The New York Times,https://www.nytimes.com/2020/03/12/health/coronavirus-midlife-conditions.html,1406
