,abstract,date,headline,id,lead_paragraph,section,source,url,word_count
50,"A look at postponements, cancellations and adjustments made in response to growing fears about the virus.",2020-03-11,How the Coronavirus Is Disrupting Sports Events,nyt://article/5d4999e7-cd65-5395-bf36-199d6b58871f,"The coronavirus toll has risen to 100,000 infections and 4,000 deaths. With governments imposing lockdowns and travel and border restrictions, sports events worldwide continued to be postponed, canceled or played without spectators.",Sports,The New York Times,https://www.nytimes.com/2020/03/11/sports/coronavirus-sports.html,990
51,"A page we will continue to update with ideas for working, at school or at home, with content from The Times and other reliable sources about this global pandemic.",2020-03-11,"Coronavirus Resources: Teaching, Learning and Thinking Critically",nyt://article/b5847d0e-1e55-51c5-acf3-e5e27418f820,Updated: April 20,The Learning Network,The New York Times,https://www.nytimes.com/2020/03/11/learning/coronavirus-resources-teaching-learning-and-thinking-critically.html,2043
52,"The employee worked in recent days at “Who’s Afraid of Virginia Woolf?” and “Six,” prompting a scramble to inform the public and clean the theaters.",2020-03-11,Broadway Usher Tests Positive for Coronavirus,nyt://article/9310c07b-0c1c-596d-9bae-5cf4db581a9e,"A part-time usher who recently worked at two Broadway theaters has tested positive for Covid-19, the disease caused by the new coronavirus, prompting a scramble to inform the public and clean the buildings, according to the theater owners.",Theater,The New York Times,https://www.nytimes.com/2020/03/11/theater/broadway-show-usher-coronavirus.html,757
53,A surge of risky borrowing by companies around the world leaves the global economy especially exposed to the potential costs of the outbreak.,2020-03-11,Coronavirus May Light Fuse on ‘Unexploded Bomb’ of Corporate Debt,nyt://article/be9bb84b-168e-5574-b53b-51fb39d37600,"LONDON — To grasp why the most important central banks — from the Fed to the Bank of England to the Bank of Japan — are now leaping into action as if the world were on fire, it helps to examine the subject of corporate debt.",Business Day,The New York Times,https://www.nytimes.com/2020/03/11/business/coronavirus-corporate-debt.html,1464
54,Congress and the White House are nearing an economic rescue package; stocks plunged again Thursday despite the Fed offering at least $1.5 trillion worth of short-term loans to banks.,2020-03-12,Congress to Vote on Coronavirus Rescue Package,nyt://article/6cfc5bb8-8fff-5c5c-bb7d-d9af7c4ea4fb,Read the latest developments in the coronavirus outbreak here.,World,The New York Times,https://www.nytimes.com/2020/03/12/world/coronavirus-live-news-updates.html,2955
55,Postponements and cancellations continued in an effort to curtail the spread of the virus.,2020-03-12,How the Coronavirus Is Disrupting Sports,nyt://article/08e6ce17-6775-516b-b16a-d16b847b9559,"Sports around the world continued to be disrupted, and even halted, by the spread of the coronavirus.",Sports,The New York Times,https://www.nytimes.com/2020/03/12/sports/coronavirus-sports.html,1887
56,"Those with chronic health problems are more likely to develop severe illnesses and to die, research shows.",2020-03-12,Coronavirus Threatens Americans With Underlying Conditions,nyt://article/86bb3c6e-4154-5b70-a952-842dcb6bb63e,"The new coronavirus is a serious threat to the elderly, as federal officials have been at pains to note recently. But they have stepped gingerly around advice for another group of Americans also at special risk from the infection: those with chronic health conditions.",Health,The New York Times,https://www.nytimes.com/2020/03/12/health/coronavirus-midlife-conditions.html,1406
57,"When your income depends on promoting travel, staying home comes at a cost.",2020-03-13,Coronavirus Is Causing Chaos for Travel Influencers,nyt://article/68d8c86e-aa08-5386-a809-8edb1ec394a2,"As flights, events, and media trips are canceled and hospitality marketers tighten their budgets over coronavirus fears, travel influencers are scrambling.",Style,The New York Times,https://www.nytimes.com/2020/03/13/style/travel-influencers-coronavirus.html,1221
58,The N.B.A. suspends its season. Colleges move to distance learning. President Trump restricts travel from Europe. What are your thoughts on these and other recent developments?,2020-03-13,What Is Your Reaction to the Latest News About the Coronavirus Outbreak?,nyt://article/04a2ba93-3273-5fde-b201-76cc5b255bc9,"This week, the World Health Organization declared the coronavirus outbreak to be a pandemic. And in the past 48 hours, we have seen a dramatic turn of events in the United States affecting virtually all aspects of our lives, from our schools to the economy, from travel to the world of entertainment.",The Learning Network,The New York Times,https://www.nytimes.com/2020/03/13/learning/what-is-your-reaction-to-the-latest-news-about-the-coronavirus-outbreak.html,1011
59,The Trump administration says Americans returning from coronavirus hot spots are being screened for symptoms. Some travelers say that is not happening.,2020-03-13,Travelers From Coronavirus Hot Spots Say They Faced No Screening,nyt://article/3f4984ca-b586-56eb-93f2-23ded99d22ac,"WASHINGTON — As thousands of Americans flee from Europe and other centers of the coronavirus outbreak, many travelers are reporting no health screenings upon departure and few impediments at U.S. airports beyond a welcome home greeting.",U.S.,The New York Times,https://www.nytimes.com/2020/03/13/us/politics/coronavirus-travelers-screening.html,1103
60,We asked the experts.,2020-03-13,What Are the Rules for Play Dates During the Coronavirus Crisis?,nyt://article/5c70611a-d801-5021-9fb6-fced84253df8,"Schools and day care centers are closing, and the Centers for Disease Control and Prevention is telling us to limit close contact with others if the coronavirus is known to be spreading within our community. But what does close contact mean, exactly? Should we stop letting our kids have play dates? Is it OK to go to the museum or playground or indoor trampoline park? And what about birthday parties?",Parenting,The New York Times,https://www.nytimes.com/2020/03/13/parenting/kids-playdates-coronavirus.html,1179
61,"When your income depends on promoting travel, staying home comes at a cost.",2020-03-13,Coronavirus Is Causing Chaos for Travel Influencers,nyt://article/68d8c86e-aa08-5386-a809-8edb1ec394a2,"As flights, events, and media trips are canceled and hospitality marketers tighten their budgets over coronavirus fears, travel influencers are scrambling.",Style,The New York Times,https://www.nytimes.com/2020/03/13/style/travel-influencers-coronavirus.html,1221
