,Datetime,Text,user,retweets
27,2020-01-22 15:46:39+00:00,What do you need to know about the new coronavirus in China? https://www.scmp.com/news/china/society/article/3047066/what-do-you-need-know-about-new-coronavirus-china via @scmpnews,MagicScrapHole,0
28,2020-01-22 15:36:32+00:00,Death toll from Chinese coronavirus outbreak nearly doubles: ,blanc2618,0
29,2020-01-22 15:35:46+00:00,"AMLO dice que hay un posible caso de coronavirus en México ""en observación"" http://uni.vi/I1bz1027iA0 via @UniNoticias",esperceballos,0
30,2020-01-22 14:23:36+00:00,"Estimado @chanelsocial tiene usted conocimiento si @SaludPublicaRD està tomando medidas con el #coronavirus de China? Porque con el tràfico de chinos por la frontera, y sin vigilancia podrìamos tener muchos problemas. ",judithstephen,0
31,2020-01-22 12:34:30+00:00,"""CORONAVIRUS"" LIKELY DIRECT RESULT OF CHINESE IMPORTING *HIGHLY CONTAGIO... https://youtu.be/6UgHT87uJwQ via @YouTube",RobertJones2432,0
32,2020-01-22 12:23:27+00:00,#pandemic #coronavirus #preparadness #prepared,TheAngryPrepper,0
33,2020-01-22 10:57:58+00:00,The #CoronaVirus sounds like a drinking game.,kennatori,0
34,2020-01-22 03:34:40+00:00,do you have Coronavirus on tap?,DaltonRayce,0
35,2020-01-22 02:48:49+00:00,And here I was thinking the #coronavirus was how I was gonna go. So *stupid* of me — @ladygaga #StupidLove ,R3alRad,0
36,2020-01-22 01:47:18+00:00,Corona Virus?!,conleyfanclub,0
37,2020-01-22 01:23:50+00:00,Let’s blow this joint! Anywhere this coronavirus doesn’t exist,Always_Ballen,0
0,2020-01-23 23:44:59+00:00,She might ha e contact the coronavirus doing this shoot and needs to be quarantined,5THCONSCIOUS,0
1,2020-01-23 23:44:18+00:00,coronavirus is just a fancy word for a hangover,joeyshortsleeve,0
2,2020-01-23 23:35:10+00:00,I’m not trying to be on the train in queens wit this corona virus shit going on NO,alessofwondrlnd,0
3,2020-01-23 23:04:13+00:00,"Someone just sat down next to me on the train, looked at me and legitimately breathed ON me. Not in my vicinity, I mean directly ON me. Like my neck. So I probably have Coronavirus now",QueenKiks,0
4,2020-01-23 22:54:06+00:00,Rapid vaccine development is crucial to addressing emerging pathogens like the Wuhan #coronavirus ,DannyBressler1,0
5,2020-01-23 22:53:07+00:00,"No need to panic: Coronavirus is not as deadly as others, says doctor Kayvon Modjarrad via ⁦⁦@CNBCTheExchange⁩",Harri8t,1
6,2020-01-23 22:27:57+00:00,Scientists have found the birthplace of #coronavirus ,aabsolukely,0
7,2020-01-23 20:22:32+00:00,Americans when the Coronavirus eventually arrives here ,jarestia,27
8,2020-01-23 15:27:39+00:00,The deadly coronavirus of the Wuhan,jojomewa1,0
9,2020-01-23 14:54:42+00:00,Poor Haftar. He shut down #Libya's oil to try to push around the powers... and #Brent went down five bucks. #coronavirus #OOTT,RobboLaw,0
10,2020-01-23 14:08:57+00:00,"Hopefully, the U.S. stopped this in Washington state. Because it’s going to get way worse in China. https://www.zerohedge.com/geopolitical/coronavirus-infections-climb-473-china-hong-kong-confirms-first-case #WuhanCoronavirus #pandemic #preppers #coronavirus",TheAngryPrepper,1
11,2020-01-23 13:32:28+00:00,"EXCITED FOR THE RIGHT TO LIFE MARCH. ABORTION IS BAD AND SHOULD BE ILLEGAL EXCEPT FOR ALL OF THE ABORTIONS I PAID FOR MY MISTRESSES TO HAVE. ALSO, I SHOULD HAVE ABORTED @DonaldJTrumpJr IM VERY SORRY FOR HIM AMERICA! #donjr #trump #coronavirus #DumpTrump",jasemichaelnyc,0
12,2020-01-23 13:21:28+00:00,juss a little coronavirus and lime for me pls,sheshadis,1
13,2020-01-23 13:08:31+00:00,Me: “Hey bro! How was trip? Where’d you go again? Friend: “Yep. China was great!!” Me: #coronavirus ,drantbradley,1
14,2020-01-23 11:19:50+00:00,#coronavirus killed 17 and has hundreds sick. #Netflix drops a #Influenza documentary same time. Irony much ,WordsxFrankie,0
15,2020-01-23 03:56:14+00:00,I’ll take two coronavirus’ please,joeyshortsleeve,0
16,2020-01-23 03:46:15+00:00,I like my Corona Virus ice cold with a slice of lime. #Cornavirus,SheckyBeagleman,2
17,2020-01-23 03:09:17+00:00,She’s now sending me 117 links on news for the coronavirus. Stacie gonna stace.,cstanderfer,0
18,2020-01-23 02:44:03+00:00,"Already hearing about conference organizers that are worried: As Coronavirus Spreads, Should Your Event be Prepared? ",rafat,5
19,2020-01-23 23:29:47+00:00,"There are many #viruses going around now, even deadly ones like the one that originated in China #coronavirus Please protect yourself &amp; your kids Prevention is key and #elderberry is just what you need for… https://www.instagram.com/p/B7rj6rEJBEB/?igshid=3vzbors1lwg6",Jahypimentel,0
20,2020-01-23 22:20:34+00:00,If this Coronavirus thing is a big marketing ploy then I say BRAVO!,BlackburnReview,0
21,2020-01-23 22:01:35+00:00,1000 times as many people have died so far from the flu this season in the US as the new coronavirus in China.,IDontKn68957344,0
22,2020-01-23 20:38:42+00:00,"How will Wuhan Coronavirus impact China GDP? We estimate that the current outbreak's likely impact will range from a 0.8% cut to real GDP if the epidemic is controlled within three months, to a 1.9% cost to GDP if the epidemic lasts nine months. – at Alliance Bernstein",pauledorrjr,0
23,2020-01-23 18:32:05+00:00,"Booker, Menendez demand coronavirus screenings at Newark airport as illness spreads ",chuckyjr,0
24,2020-01-23 17:17:26+00:00,US coronavirus patient 'had contact with at least 16 people' https://mol.im/a/7919851 @MailOnline,blanc2618,0
25,2020-01-23 17:13:46+00:00,$PCTL Up 18% Their technology could help eliminate Corona virus,mikarsys,0
26,2020-01-23 16:51:44+00:00,Deadly Chinese coronavirus 'can spread through coughs and sneezes' https://mol.im/a/7919847 @MailOnline,blanc2618,0
27,2020-01-23 16:29:31+00:00,A robot with a stethoscope treats a coronavirus patient to minimize doctors’ exposure. ,deannav,0
28,2020-01-23 14:45:43+00:00,"vocês aí no Brasil provavelmente estão mais seguros contra o Coronavirus do que eu aqui em NY, e ainda morando a literalmente 15min de caminhada de Chinatown, com vários migrantes indo e vindo todo dia se eu morrer, meus videogames e bicicletas ficam pro @nathangomes",marcogomes,2
29,2020-01-23 14:04:56+00:00, 571 people have been confirmed infected with the new coronavirus in China 95 in critical condition 17 have died #nCoV2019,jesusanampa,0
30,2020-01-23 13:35:39+00:00,"I should be winning a #Oscars2020 . 5 days a wk i have to put a smile on #HomeDepot 980 3rd ave in nyc were 2 #Nooses were found 08/25&amp;09/27 0f 2019. I work for a company were am underpaid &amp; underemployed. Also, they did nothing about the Nooses #coronavirus #seattleshooting",auydaplease,0
31,2020-01-23 12:10:50+00:00,So what’s the government trying to hide? With all the coronavirus outbreaks,eliassanchez10,0
32,2020-01-23 12:07:28+00:00,I HAVE CORONAVIRUS UNDER CONTROL ALONG WITH MY SYPHILLIS AND GONORREAH. ALL GOOD LADIES :))),jasemichaelnyc,0
33,2020-01-23 07:05:42+00:00,Una tarde sin leer twitter y ya el Coronavirus está en todo el timeline ,anyuliguevara,0
34,2020-01-23 02:24:06+00:00,"##coronavirus -En diciembre del año pasado reapareció el virus del coronavirus en China… Fue en un mercado de la ciudad de Wuhan, China, donde surgió un brote de neumonía que las autoridades sanitarias minimizaron… https://www.instagram.com/p/B7pTE5dBFIj/?igshid=1qpnu1rjud8g8",LERUFFO,0
35,2020-01-23 01:10:12+00:00,"Hey China. If you’re going to give us the Coronavirus, can you at least send it with a little wedge of lyme disease? Boo?! Hiss?! Fine! But you don’t have to throw stuff.",terrykenny,0
36,2020-01-23 00:33:01+00:00,INTRANSIT FROM CHINA PASSENGERS FLYING TO THE USA MUST BE CURTAILED UNTIL THE CORONA VIRUS IS CONTAINED AND CONTROLLED. THIS IS NO TIME FOR DIPLOMATIC NICETIES BECAUSE PEOPLE ARE DYING. IT HAS BECOME A NATIONAL SECURITY ISSUE. ,fr045054,0
37,2020-01-23 00:13:20+00:00,¿Cómo se transmite? ¿Hay vacuna?: lo que debes saber del coronavirus surgido en China y que ya llegó a EEUU http://uni.vi/oENv1027eAm vía @UniNoticias @micapiello,guerrerodeluz9,0
0,2020-01-24 23:39:42+00:00,What if @netflix paid a rogue scientist to release the coronavirus just to get you to watch Pandemic ,kickhisassbass,3
1,2020-01-24 23:33:11+00:00,you can’t call it a coronavirus and be surprised when your hispanic dad makes beer jokes about it,badbitchsab,0
2,2020-01-24 22:38:08+00:00,".@NYCMayor says he thinks there will be cases of new #coronavirus in NYC (there may be already), w/@NYCHealthCommr at @nycemergencymgt HQ urged anyone who has fever &amp; cough, has traveled to Wuhan China in last 14 days, to see a doctor. #1010WINS – at NYC Office of Emergency Management (OEM)",SoniaRincon,2
